,Company Name,Company Website,Description,Media Spend (M)
0,"Apple, Inc.",www.apple.com,"computers, music devices", $500 - 999 
1,"Macy's, Inc.",www.federated-fds.com,department stores, $500 - 999 
2,"Merck & Company, Inc.",www.merck.com,pharmaceuticals, $500 - 999 
3,Microsoft Corporation,www.microsoft.com,"software, electronics, TV, Internet", $500 - 999 
4,Sears Holdings Corporation,www.sears.com,"retail goods, automotive, apparel", $500 - 999 
5,Target Corporation,www.target.com,national discount retailer, $500 - 999 
6,"The Home Depot, Inc.",www.homedepot.com,building materials retailer, $500 - 999 
7,"Walmart Stores, Inc.",www.walmartstores.com,general merchandisers, $500 - 999 
8,"Warner Bros. Entertainment, Inc.",www.warnerbros.com,"movies, TV, stores, video", $500 - 999 
9,"Amazon.com, Inc.",www.amazon.com,"online books, movies, music, gifts", $250 - 500 
10,"Best Buy, Inc.",www.bestbuy.com,consumer electronic stores, $250 - 500 
11,"Estee Lauder Companies, Inc. ",www.elcompanies.com,"cosmetics, fragrances, skin care", $250 - 500 
12,"Fry's Electronics, Inc.",www.frys.com,electronic stores, $250 - 500 
13,"GAP, Inc. / Banana Republic / Old Navy",www.gapinc.com,clothing stores, $250 - 500 
14,"JCPenney Corporation, Inc.",www.jcpenney.net,department store, $250 - 500 
15,Kimberly-Clark Corporation,www.kimberly-clark.com,personal paper products, $250 - 500 
16,Kohl's Corporation,www.kohls.com,department stores, $250 - 500 
17,"Lowe's Companies, Inc.",www.lowes.com,retail home improvement centers, $250 - 500 
18,"LVMH, Inc.",www.lvmh.com,"fashion apparel, luggage, handbags", $250 - 500 
19,Walgreen Company,www.walgreens.com,drug & sundries retailer, $250 - 500 
20,"1-800-CONTACTS, Inc.",www.1800contacts.com,contact lenses, $100 - 250 
21,"Bradford Group, Inc.",www.thebradfordgroup.com,collectibles, $100 - 250 
22,"Chanel, Inc.",www.chanel.com,women's & men's apparel & accessories, $100 - 250 
23,ExxonMobil Corporation,www.exxonmobil.com/Corporate/,gasoline & lubricants, $100 - 250 
24,Jaguar Land Rover North America,www.landrover.com,"foreign automobile manufacturer, luxury", $100 - 250 
25,Luxottica Retail,www.luxotticagroup.com,designer eyewear, $100 - 250 
26,"Mercedes-Benz USA, LLC ",www.mbusa.com,"foreign automobile manufacturer, luxury", $100 - 250 
27,"PetSmart, Inc.",www.petsmart.com,pet food & supplies, $100 - 250 
28,Phillips-Van Heusen Corporation,www.pvh.com,men's clothing, $100 - 250 
29,"Rooms To Go, Inc.",www.roomstogo.com,home furnishings retailer, $100 - 250 
30,"Safeway, Inc.",www.safeway.com,supermarket chain, $100 - 250 
31,The Kroger Company,www.thekrogerco.com,retail supermarket chain , $100 - 250 
32,"The TJX Companies, Inc.",www.tjx.com,clothing & apparel stores, $100 - 250 
33,"Toys R' Us, Inc.",www.toysrusinc.com,baby & children's retailer, $100 - 250 
34,Ace Hardware Corporation,www.acehardware.com,hardware retailer, $50 - 100 
35,"adidas America, Inc.",www.adidas-group.com,footwear & athletic clothes, $50 - 100 
36,"AutoZone, Inc.",www.autozone.com,"automotive products, parts manufacturer, auto care", $50 - 100 
37,Big 5 Sporting Goods Corporation,www.big5sportinggoods.com,athletic equipment & apparel retailer, $50 - 100 
38,"Bloomingdale's, Inc.",www.bloomingdales.com,"department stores, magazine", $50 - 100 
39,Brown-Forman Corporation,www.brown-forman.com,"beverages, alcoholic", $50 - 100 
40,Burlington Coat Factory Warehouse Corporation,www.burlingtoncoatfactory.com,"coats, clothing, shoes & accessories outlet", $50 - 100 
41,CVS Corporation,www.cvs.com,drugstores, $50 - 100 
42,"Dick's Sporting Goods, Inc.",www.dickssportinggoods.com,sporting goods, $50 - 100 
