,Company Name,Company Website,Description,Media Spend (M)
50,Harbor Freight Tools,www.harborfreight.com,home improvement, $50 - 100 
92,Cabela's Inc.,www.cabelas.com,"outdoor clothing, sporting goods", $25 - 50 
101,Famous Footwear,www.famousfootwear.com,retail shoe stores, $25 - 50 
105,Giorgio Armani,www.giorgioarmani.com,upscale designer clothing, $25 - 50 
114,Lee Jeans,www.lee.com/LEE_STORE_US/en_US/home.html,jeans & other clothing, $25 - 50 
132,"Sephora USA, LLC",www.sephora.com,cosmetics & beauty supplies, $25 - 50 
133,TaylorMade-adidas,www.taylormadegolf.com,golf equipment & apparel, $25 - 50 
134,The Pep Boys,www.pepboys.com,retail automotive parts, $25 - 50 
142,99 Cents Only Stores,www.99only.com,general merchandise stores, $10 - 25 
148,Anna's Linens,www.annaslinens.com,home textiles, $10 - 25 
154,Burberry Limited,www.burberryplc.com,men & women's fashion, $10 - 25 
166,"Express, LLC",www.express.com,women & men's apparel & accessories, $10 - 25 
191,"Montblanc North America, LLC",www.montblanc.com,"fine pens, watches, accessories", $10 - 25 
208,The Jones Group Inc.,www.jny.com,women's clothing, $10 - 25 
211,Total Wine & More,www.totalwine.com/,spirits retail, $10 - 25 
253,Helzberg Diamonds,www.helzberg.com,retail jewelry stores, $5 - 10 
263,Levin Furniture Inc,www.levinfurniture.com/,furniture stores, $5 - 10 
266,Not Your Daughter's Jeans,www.notyourdaughtersjeans.com,apparel designed for Women age 35+, $5 - 10 
272,Ross-Simons,www.ross-simons.com,"housewares, jewelry", $5 - 10 
273,Save Mart Supermarkets,www.savemart.com/,supermarket chain, $5 - 10 
279,"Sprouts Farmers Market, LLC",www.sprouts.com,grocery stores, $5 - 10 
285,The TruGreen Companies ,www.trugreen.com,lawn care product application, $5 - 10 
289,Williamson-Dickie Manufacturing Co.,www.dickies.com,"pants, jeans", $5 - 10 
300,CustomInk,www.customink.com,custom apparel & specialty items, $3 - 5 
307,"Forever 21, Inc.",www.forever21.com,women's & junior's apparel, $3 - 5 
309,"Harris Teeter, Inc.",www.harristeeter.com,grocery chain, $3 - 5 
321,"Paul Stuart, Inc.",www.paulstuart.com,clothing, $3 - 5 
377,Fink's Jewelers,www.finks.com,jewelry stores, $1 - 3 
388,"J.W. Childs Associates, L.P.",www.jwchilds.com,private equity investment firm, $1 - 3 
391,"Kwik Trip, Inc.",www.kwiktrip.com,gas stations & convenience stores, $1 - 3 
396,Marc Glassman,www.marcs.com,"discount stores, pharmaceuticals", $1 - 3 
397,"Marmot Mountain, LLC",www.marmot.com,outdoor recreational equipment, $1 - 3 
416,"Reeds Jewelers, Inc.",www.reeds.com,jewelry stores, $1 - 3 
426,"Silpada Designs, Inc.",www.silpada.com,sterling silver jewelry, $1 - 3 
427,"Smart & Final, Inc.",www.smartandfinal.com,warehouse grocery stores, $1 - 3 
430,Stew Leonard's,www.stewleonards.com,supermarket chain, $1 - 3 
461,Tops Markets LLC,www.topsmarkets.com,grocery stores, $750k - 1 
463,"Wayfair, LLC",www.wayfair.com,internet retailer, $750k - 1 
465,"180s, LLC",www.180s.com,performance apparel,Less than $750K
466,479 Popcorn,www.479popcorn.com,premium artisan popcorn,Less than $750K
471,"abc distributing, LLC",www.abcdistributing.com,retail catalogs,Less than $750K
474,ABRA Auto Body & Glass,www.abraauto.com,auto body shops,Less than $750K
476,Adrenalina,www.adrenalinastore.com,extreme sports store,Less than $750K
483,"Al & Ed's Autosound, LLC",www.al-eds.com,"automotive products / parts manufacturer, audio",Less than $750K
487,"Allegra Network, LLC",www.allegranetwork.com,copy centers,Less than $750K
509,Ashley Stewart,www.ashleystewart.com,womens clothing,Less than $750K
512,Avenues In Leather,www.avenuesinleather.com,leather products,Less than $750K
529,"Bi-Lo, LLC",www.bi-lo.com,grocery chain,Less than $750K
531,BIDZ.com Inc.,www.bidz.com,online retailer of jewelry,Less than $750K
547,Briggs & Riley Travelware,www.briggs-riley.com,luggage,Less than $750K
556,Burton Snowboards,www.burton.com,snowboard & equipment manufacturer,Less than $750K
562,CafePress.com,www.cafepress.com,e-commerce services,Less than $750K
571,Chamilia,www.chamilia.com,personalized accessories,Less than $750K
595,"Crayola, LLC",www.crayola.com,children's art products,Less than $750K
600,Custom Chrome,www.customchrome.com,automotive products / parts manufacturer,Less than $750K
603,Dakine,www.dakine.com,sporting goods,Less than $750K
623,Disney Store of North America,www.disneystore.com,"character-based merchandise, retail stores",Less than $750K
627,"Drs. Foster & Smith, Inc.",www.drsfostersmith.com,pet supplies,Less than $750K
641,Ergobaby,http://store.ergobaby.com,infant carrying products,Less than $750K
645,"Fairway & Greene, Ltd.",www.fairwayandgreene.com,golf apparel,Less than $750K
650,Five Below,www.fivebelow.com/,vaule retailer,Less than $750K
652,Flynn & O'Hara,www.roseuniforms.com,school uniforms,Less than $750K
657,Franklin Covey Co.,www.franklincovey.com,planners & organizers,Less than $750K
662,"Fresh Concepts, LLC",www.freshcity.com,fast casual restaurant,Less than $750K
677,Gordon Food Service,www.gfs.com,bulk foods,Less than $750K
690,Harveys Supermarkets,www.harveys-supermarkets.com,local supermarket chain,Less than $750K
692,"Hat World, Inc. / Lids",www.hatworld.com,hats,Less than $750K
702,"Hollywood Tans, LLC",www.hollywoodtans.com,tanning salons,Less than $750K
710,"Hunt Brothers Pizza, LLC",www.huntbrotherspizza.com/,quick serve restaurant,Less than $750K
711,"Hunter Mfg, LLP",www.huntermfg.com,licensed sports consumer products,Less than $750K
720,J&D's Foods,www.jdfoods.net,bacon-flavored foodstuffs,Less than $750K
721,J. Barbour & Sons Ltd,www.barbour.com,casual & outdoor clothing,Less than $750K
728,Jewel-Osco,www.jewelosco.com,grocery & drug stores,Less than $750K
733,JSSI,www.lugz.com,athletic footwear,Less than $750K
734,Junonia Ltd.,www.junonia.com,plus-sized women's apparel retailer,Less than $750K
739,"Karmaloop, LLC",www.karmaloop.com,online apparel retailer,Less than $750K
745,"Kemistre Eight, LLC",www.akademiks.com,apparel & accessories,Less than $750K
752,"Kwik Shop, Inc.",www.kwikshop.com,convenience store chain,Less than $750K
755,La Curacao,www.lacuracao.net,department stores,Less than $750K
758,Lands' End Business Outfitters,www.landsend.com,branded corporate apparel,Less than $750K
790,"MexGrocer.com, LLC",www.mexgrocer.com,online grocery store,Less than $750K
812,New England Footwear,www.newenglandfootwear.com,shoe manufacturer,Less than $750K
823,"Oneida, Ltd.",www.oneida.com,"dinnerware, flatware, crystal, cookware",Less than $750K
828,Orrefors,www.orrefors.us,art products,Less than $750K
837,Pearl Izumi,www.pearlizumi.com,clothing,Less than $750K
844,Piggly Wiggly Midwest,www.shopthepig.com,supermarkets,Less than $750K
846,PLV Studio Inc,www.pourlavictoire.com/,specialty retailer,Less than $750K
850,Price Chopper,www.pricechopper.com,supermarket,Less than $750K
859,"Randa Accessories, LLC",www.randa.net,accessories & leather goods,Less than $750K
880,Ryderz Compound,www.nofear.com,sports equipment & clothing,Less than $750K
881,Safariland,www.safariland.com,"security systems, bullet resistant vests, backpacks",Less than $750K
884,Saker Shop-rite,www.shoprite.com,supermarket chain,Less than $750K
887,"Samuels Jewelers, Inc.",www.samuelsjewelers.com,retail jewelry stores,Less than $750K
888,Sanuk,www.sanuk.com,footwear,Less than $750K
894,Selective Eyewear Elements,www.seeeyewear.com,retail optics chain,Less than $750K
902,"Shreve, Crump & Low",www.shrevecrumplow.com,"diamonds, gems, and silver",Less than $750K
904,Simply Shops,www.simplyretailinc.com,healthcare retail,Less than $750K
908,SmartWool,www.smartwool.com,sports apparel,Less than $750K
910,Sneaker Villa,www.sneakervilla.com,apparel & shoe retailer,Less than $750K
913,"Southern Tide, LLC",www.southerntide.com,apparel,Less than $750K
917,"Spencer Gifts, LLC",www.spencersonline.com/,novelty retailer,Less than $750K
919,Spy Optics,www.spyoptic.com,sunglasses & goggles,Less than $750K
924,"Sterling Jewelers, Inc.",www.sterlingjewelers.com,jewelry stores,Less than $750K
926,"Stuart Weitzman, LLC",www.stuartweitzman.com,leather goods,Less than $750K
929,Superdry,www.superdry.com,apparel & fashion,Less than $750K
934,Sweetbay Supermarkets,www.sweetbaysupermarket.com,grocery chain,Less than $750K
941,"Tasti D-Lite, LLC",www.tastidlite.com,fast casual restaurant,Less than $750K
961,The Yucaipa Companies LLC,www.yucaipaco.com,investment company,Less than $750K
963,Thierry Mugler,mugler.com/int/en/,apparel & cosmetics,Less than $750K
964,Thorntons,www.thorntonsinc.com,gas & grocery stores,Less than $750K
967,Timbuk2,www.timbuk2.com/,specialty retailer,Less than $750K
1001,Warburg Pincus LLC,www.warburgpincus.com,private investment firm,Less than $750K
1011,"Woolrich, Inc.",www.woolrich.com,fabrics & clothing,Less than $750K
1014,YMI Jeanswear Inc.,www.ymijeans.com,jeans,Less than $750K
