,Company Name,Company Website,Description,Media Spend (M)
105,Giorgio Armani,www.giorgioarmani.com,upscale designer clothing, $25 - 50 
114,Lee Jeans,www.lee.com/LEE_STORE_US/en_US/home.html,jeans & other clothing, $25 - 50 
134,The Pep Boys,www.pepboys.com,retail automotive parts, $25 - 50 
266,Not Your Daughter's Jeans,www.notyourdaughtersjeans.com,apparel designed for Women age 35+, $5 - 10 
300,CustomInk,www.customink.com,custom apparel & specialty items, $3 - 5 
396,Marc Glassman,www.marcs.com,"discount stores, pharmaceuticals", $1 - 3 
465,"180s, LLC",www.180s.com,performance apparel,Less than $750K
556,Burton Snowboards,www.burton.com,snowboard & equipment manufacturer,Less than $750K
595,"Crayola, LLC",www.crayola.com,children's art products,Less than $750K
600,Custom Chrome,www.customchrome.com,automotive products / parts manufacturer,Less than $750K
603,Dakine,www.dakine.com,sporting goods,Less than $750K
641,Ergobaby,http://store.ergobaby.com,infant carrying products,Less than $750K
657,Franklin Covey Co.,www.franklincovey.com,planners & organizers,Less than $750K
662,"Fresh Concepts, LLC",www.freshcity.com,fast casual restaurant,Less than $750K
677,Gordon Food Service,www.gfs.com,bulk foods,Less than $750K
711,"Hunter Mfg, LLP",www.huntermfg.com,licensed sports consumer products,Less than $750K
733,JSSI,www.lugz.com,athletic footwear,Less than $750K
755,La Curacao,www.lacuracao.net,department stores,Less than $750K
828,Orrefors,www.orrefors.us,art products,Less than $750K
837,Pearl Izumi,www.pearlizumi.com,clothing,Less than $750K
859,"Randa Accessories, LLC",www.randa.net,accessories & leather goods,Less than $750K
888,Sanuk,www.sanuk.com,footwear,Less than $750K
902,"Shreve, Crump & Low",www.shrevecrumplow.com,"diamonds, gems, and silver",Less than $750K
917,"Spencer Gifts, LLC",www.spencersonline.com/,novelty retailer,Less than $750K
919,Spy Optics,www.spyoptic.com,sunglasses & goggles,Less than $750K
963,Thierry Mugler,mugler.com/int/en/,apparel & cosmetics,Less than $750K
967,Timbuk2,www.timbuk2.com/,specialty retailer,Less than $750K
1001,Warburg Pincus LLC,www.warburgpincus.com,private investment firm,Less than $750K
